"exercise_name";"type_of_activity";"type_of_equipment";"body_part";"type";"muscle_groups_activated";"instructions"
"Mountain Climbers";"Strength";"Kettlebells";"Full Body";"Push";"Quadriceps, Chest, Core";"Perform the movement by engaging your Quadriceps, Chest, Core and keeping proper form. Avoid overextending."
"Squats";"Mobility";"Dumbbells";"Upper Body";"Push";"Traps, Rear Deltoids, Lats, Abs, Forearms";"Perform the movement by engaging your Traps, Rear Deltoids, Lats, Abs, Forearms and keeping proper form. Avoid overextending."
"Push-Ups";"Cardio";"Kettlebells";"Full Body";"Pull";"Rear Deltoids, Hamstrings, Quadriceps, Forearms";"Pull the kettlebells towards you using your Rear Deltoids, Hamstrings, Quadriceps, Forearms, and return to the starting position with control."
"Wall Sit";"Warm-up";"Dumbbells";"Core";"Push";"Chest, Traps, Lower Back, Lats";"Perform the movement by engaging your Chest, Traps, Lower Back, Lats and keeping proper form. Avoid overextending."
"Lunges";"Warm-up";"Pull-Up Bar";"Upper Body";"Static";"Core, Hamstrings";"Hold the position steadily, ensuring your Core, Hamstrings remain activated without losing alignment."
"Kettlebell Swings";"Strength";"Medicine Ball";"Core";"Static";"Chest, Lats, Forearms";"Hold the position steadily, ensuring your Chest, Lats, Forearms remain activated without losing alignment."
"Overhead Press";"Warm-up";"Resistance Band";"Lower Body";"Static";"Shoulders, Core, Lats, Rear Deltoids, Lower Back";"Hold the position steadily, ensuring your Shoulders, Core, Lats, Rear Deltoids, Lower Back remain activated without losing alignment."
"Push-Ups";"Strength";"None";"Full Body";"Hold";"Traps, Abs, Rear Deltoids, Triceps, Chest";"Maintain a stable position, keeping your Traps, Abs, Rear Deltoids, Triceps, Chest engaged throughout the duration."
"Push-Ups";"Mobility";"Resistance Band";"Core";"Pull";"Biceps, Rear Deltoids, Lower Back, Lats, Chest";"Pull the resistance band towards you using your Biceps, Rear Deltoids, Lower Back, Lats, Chest, and return to the starting position with control."
"Dumbbell Rows";"Warm-up";"Resistance Band";"Core";"Static";"Triceps, Traps";"Hold the position steadily, ensuring your Triceps, Traps remain activated without losing alignment."
"Kettlebell Swings";"Strength";"Kettlebells";"Upper Body";"Push";"Glutes, Chest, Quadriceps, Abs";"Perform the movement by engaging your Glutes, Chest, Quadriceps, Abs and keeping proper form. Avoid overextending."
"Mountain Climbers";"Mobility";"Barbell";"Core";"Pull";"Traps, Shoulders, Quadriceps, Lower Back";"Pull the barbell towards you using your Traps, Shoulders, Quadriceps, Lower Back, and return to the starting position with control."
"Tricep Dips";"Cardio";"Medicine Ball";"Core";"Hold";"Quadriceps, Lower Back, Rear Deltoids, Triceps, Abs";"Maintain a stable position, keeping your Quadriceps, Lower Back, Rear Deltoids, Triceps, Abs engaged throughout the duration."
"Kettlebell Swings";"Strength";"None";"Core";"Pull";"Glutes, Hip Flexors";"Pull the your body towards you using your Glutes, Hip Flexors, and return to the starting position with control."
"Pull-Ups";"Strength";"Cable Machine";"Core";"Hold";"Triceps, Abs, Hip Flexors, Traps, Core";"Maintain a stable position, keeping your Triceps, Abs, Hip Flexors, Traps, Core engaged throughout the duration."
"Resistance Band Pull";"Cardio";"Dumbbells";"Lower Body";"Hold";"Chest, Rear Deltoids, Glutes";"Maintain a stable position, keeping your Chest, Rear Deltoids, Glutes engaged throughout the duration."
"Kettlebell Swings";"Mobility";"Bodyweight";"Upper Body";"Push";"Biceps, Core, Hamstrings, Lats, Chest";"Perform the movement by engaging your Biceps, Core, Hamstrings, Lats, Chest and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Cardio";"Bodyweight";"Lower Body";"Push";"Chest, Triceps, Biceps, Rear Deltoids, Hip Flexors";"Perform the movement by engaging your Chest, Triceps, Biceps, Rear Deltoids, Hip Flexors and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Mobility";"Pull-Up Bar";"Upper Body";"Pull";"Rear Deltoids, Quadriceps, Chest, Biceps";"Pull the pull-up bar towards you using your Rear Deltoids, Quadriceps, Chest, Biceps, and return to the starting position with control."
"Leg Raises";"Warm-up";"None";"Lower Body";"Static";"Glutes, Traps";"Hold the position steadily, ensuring your Glutes, Traps remain activated without losing alignment."
"Tricep Dips";"Strength";"Kettlebells";"Full Body";"Static";"Hamstrings, Quadriceps, Lower Back";"Hold the position steadily, ensuring your Hamstrings, Quadriceps, Lower Back remain activated without losing alignment."
"Push-Ups";"Mobility";"Barbell";"Lower Body";"Pull";"Hip Flexors, Chest, Glutes, Triceps";"Pull the barbell towards you using your Hip Flexors, Chest, Glutes, Triceps, and return to the starting position with control."
"Burpees";"Strength";"Resistance Band";"Core";"Push";"Glutes, Biceps, Forearms, Rear Deltoids, Chest";"Perform the movement by engaging your Glutes, Biceps, Forearms, Rear Deltoids, Chest and keeping proper form. Avoid overextending."
"Lunges";"Warm-up";"Bodyweight";"Upper Body";"Pull";"Chest, Lats";"Pull the bodyweight towards you using your Chest, Lats, and return to the starting position with control."
"Russian Twists";"Mobility";"Resistance Band";"Upper Body";"Static";"Triceps, Rear Deltoids";"Hold the position steadily, ensuring your Triceps, Rear Deltoids remain activated without losing alignment."
"Tricep Dips";"Strength";"Bodyweight";"Lower Body";"Static";"Forearms, Abs";"Hold the position steadily, ensuring your Forearms, Abs remain activated without losing alignment."
"Deadlifts";"Strength";"Cable Machine";"Full Body";"Push";"Lower Back, Hip Flexors, Rear Deltoids, Biceps";"Perform the movement by engaging your Lower Back, Hip Flexors, Rear Deltoids, Biceps and keeping proper form. Avoid overextending."
"Leg Raises";"Warm-up";"Kettlebells";"Core";"Pull";"Rear Deltoids, Quadriceps, Biceps";"Pull the kettlebells towards you using your Rear Deltoids, Quadriceps, Biceps, and return to the starting position with control."
"Jumping Jacks";"Mobility";"None";"Lower Body";"Push";"Forearms, Chest";"Perform the movement by engaging your Forearms, Chest and keeping proper form. Avoid overextending."
"Lunges";"Mobility";"None";"Upper Body";"Hold";"Shoulders, Rear Deltoids, Biceps, Chest, Lats";"Maintain a stable position, keeping your Shoulders, Rear Deltoids, Biceps, Chest, Lats engaged throughout the duration."
"Dumbbell Rows";"Cardio";"Kettlebells";"Lower Body";"Push";"Biceps, Hip Flexors, Hamstrings";"Perform the movement by engaging your Biceps, Hip Flexors, Hamstrings and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Strength";"Resistance Band";"Lower Body";"Static";"Traps, Hip Flexors, Rear Deltoids";"Hold the position steadily, ensuring your Traps, Hip Flexors, Rear Deltoids remain activated without losing alignment."
"Resistance Band Pull";"Cardio";"Bodyweight";"Lower Body";"Hold";"Lower Back, Abs";"Maintain a stable position, keeping your Lower Back, Abs engaged throughout the duration."
"Deadlifts";"Strength";"Resistance Band";"Full Body";"Static";"Lats, Triceps, Forearms, Hip Flexors";"Hold the position steadily, ensuring your Lats, Triceps, Forearms, Hip Flexors remain activated without losing alignment."
"Push-Ups";"Cardio";"Medicine Ball";"Core";"Hold";"Rear Deltoids, Forearms";"Maintain a stable position, keeping your Rear Deltoids, Forearms engaged throughout the duration."
"Deadlifts";"Mobility";"Barbell";"Upper Body";"Push";"Hamstrings, Triceps, Glutes, Forearms";"Perform the movement by engaging your Hamstrings, Triceps, Glutes, Forearms and keeping proper form. Avoid overextending."
"Squats";"Warm-up";"None";"Core";"Hold";"Abs, Lats, Biceps";"Maintain a stable position, keeping your Abs, Lats, Biceps engaged throughout the duration."
"Burpees";"Warm-up";"Pull-Up Bar";"Upper Body";"Push";"Forearms, Lats, Glutes, Shoulders, Biceps";"Perform the movement by engaging your Forearms, Lats, Glutes, Shoulders, Biceps and keeping proper form. Avoid overextending."
"Pull-Ups";"Warm-up";"Pull-Up Bar";"Full Body";"Hold";"Lats, Forearms, Glutes, Triceps";"Maintain a stable position, keeping your Lats, Forearms, Glutes, Triceps engaged throughout the duration."
"Bench Press";"Cardio";"Kettlebells";"Upper Body";"Hold";"Chest, Biceps, Shoulders, Triceps, Abs";"Maintain a stable position, keeping your Chest, Biceps, Shoulders, Triceps, Abs engaged throughout the duration."
"Deadlifts";"Mobility";"Bodyweight";"Upper Body";"Pull";"Core, Lats, Hip Flexors, Hamstrings";"Pull the bodyweight towards you using your Core, Lats, Hip Flexors, Hamstrings, and return to the starting position with control."
"Mountain Climbers";"Warm-up";"Cable Machine";"Full Body";"Hold";"Core, Traps, Lower Back, Quadriceps, Hamstrings";"Maintain a stable position, keeping your Core, Traps, Lower Back, Quadriceps, Hamstrings engaged throughout the duration."
"Pull-Ups";"Warm-up";"Resistance Band";"Upper Body";"Hold";"Traps, Triceps, Quadriceps, Hamstrings, Chest";"Maintain a stable position, keeping your Traps, Triceps, Quadriceps, Hamstrings, Chest engaged throughout the duration."
"Wall Sit";"Warm-up";"Cable Machine";"Upper Body";"Pull";"Rear Deltoids, Lower Back, Core, Shoulders, Hip Flexors";"Pull the cable machine towards you using your Rear Deltoids, Lower Back, Core, Shoulders, Hip Flexors, and return to the starting position with control."
"Pull-Ups";"Strength";"Medicine Ball";"Upper Body";"Pull";"Chest, Abs";"Pull the medicine ball towards you using your Chest, Abs, and return to the starting position with control."
"Plank";"Warm-up";"Resistance Band";"Core";"Hold";"Traps, Chest, Forearms, Quadriceps";"Maintain a stable position, keeping your Traps, Chest, Forearms, Quadriceps engaged throughout the duration."
"Lunges";"Cardio";"Kettlebells";"Core";"Pull";"Triceps, Glutes, Biceps, Quadriceps, Chest";"Pull the kettlebells towards you using your Triceps, Glutes, Biceps, Quadriceps, Chest, and return to the starting position with control."
"Resistance Band Pull";"Cardio";"Cable Machine";"Core";"Push";"Triceps, Hip Flexors";"Perform the movement by engaging your Triceps, Hip Flexors and keeping proper form. Avoid overextending."
"Mountain Climbers";"Strength";"None";"Lower Body";"Pull";"Biceps, Shoulders, Traps, Glutes";"Pull the your body towards you using your Biceps, Shoulders, Traps, Glutes, and return to the starting position with control."
"Dumbbell Rows";"Warm-up";"Bodyweight";"Full Body";"Pull";"Shoulders, Traps";"Pull the bodyweight towards you using your Shoulders, Traps, and return to the starting position with control."
"Squats";"Mobility";"Resistance Band";"Upper Body";"Push";"Biceps, Forearms, Lower Back, Quadriceps";"Perform the movement by engaging your Biceps, Forearms, Lower Back, Quadriceps and keeping proper form. Avoid overextending."
"Leg Raises";"Warm-up";"Cable Machine";"Upper Body";"Push";"Triceps, Chest, Lats, Forearms, Hip Flexors";"Perform the movement by engaging your Triceps, Chest, Lats, Forearms, Hip Flexors and keeping proper form. Avoid overextending."
"Bicep Curls";"Cardio";"Resistance Band";"Upper Body";"Pull";"Triceps, Core, Forearms, Shoulders, Hamstrings";"Pull the resistance band towards you using your Triceps, Core, Forearms, Shoulders, Hamstrings, and return to the starting position with control."
"Squats";"Strength";"Cable Machine";"Full Body";"Pull";"Traps, Abs";"Pull the cable machine towards you using your Traps, Abs, and return to the starting position with control."
"Push-Ups";"Mobility";"Barbell";"Lower Body";"Push";"Triceps, Hip Flexors, Forearms";"Perform the movement by engaging your Triceps, Hip Flexors, Forearms and keeping proper form. Avoid overextending."
"Wall Sit";"Cardio";"Barbell";"Core";"Static";"Rear Deltoids, Glutes";"Hold the position steadily, ensuring your Rear Deltoids, Glutes remain activated without losing alignment."
"Burpees";"Strength";"Resistance Band";"Lower Body";"Pull";"Quadriceps, Glutes, Hip Flexors";"Pull the resistance band towards you using your Quadriceps, Glutes, Hip Flexors, and return to the starting position with control."
"Deadlifts";"Strength";"Kettlebells";"Upper Body";"Static";"Hip Flexors, Hamstrings";"Hold the position steadily, ensuring your Hip Flexors, Hamstrings remain activated without losing alignment."
"Squats";"Cardio";"Dumbbells";"Core";"Static";"Hamstrings, Lats, Quadriceps";"Hold the position steadily, ensuring your Hamstrings, Lats, Quadriceps remain activated without losing alignment."
"Resistance Band Pull";"Mobility";"Medicine Ball";"Upper Body";"Hold";"Hamstrings, Chest, Traps, Quadriceps";"Maintain a stable position, keeping your Hamstrings, Chest, Traps, Quadriceps engaged throughout the duration."
"Overhead Press";"Strength";"Barbell";"Upper Body";"Pull";"Quadriceps, Hip Flexors, Biceps, Forearms";"Pull the barbell towards you using your Quadriceps, Hip Flexors, Biceps, Forearms, and return to the starting position with control."
"Bicep Curls";"Mobility";"Resistance Band";"Full Body";"Push";"Core, Hip Flexors, Quadriceps, Hamstrings, Forearms";"Perform the movement by engaging your Core, Hip Flexors, Quadriceps, Hamstrings, Forearms and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Warm-up";"Cable Machine";"Upper Body";"Pull";"Abs, Core, Rear Deltoids";"Pull the cable machine towards you using your Abs, Core, Rear Deltoids, and return to the starting position with control."
"Overhead Press";"Warm-up";"Dumbbells";"Upper Body";"Push";"Glutes, Traps, Quadriceps";"Perform the movement by engaging your Glutes, Traps, Quadriceps and keeping proper form. Avoid overextending."
"Jumping Jacks";"Strength";"Resistance Band";"Core";"Static";"Abs, Rear Deltoids, Chest";"Hold the position steadily, ensuring your Abs, Rear Deltoids, Chest remain activated without losing alignment."
"Bench Press";"Warm-up";"Resistance Band";"Full Body";"Pull";"Forearms, Glutes, Hip Flexors, Hamstrings, Lats";"Pull the resistance band towards you using your Forearms, Glutes, Hip Flexors, Hamstrings, Lats, and return to the starting position with control."
"Squats";"Warm-up";"Resistance Band";"Core";"Static";"Hip Flexors, Chest, Abs, Hamstrings, Biceps";"Hold the position steadily, ensuring your Hip Flexors, Chest, Abs, Hamstrings, Biceps remain activated without losing alignment."
"Jumping Jacks";"Warm-up";"Cable Machine";"Lower Body";"Hold";"Biceps, Quadriceps";"Maintain a stable position, keeping your Biceps, Quadriceps engaged throughout the duration."
"Mountain Climbers";"Mobility";"Medicine Ball";"Core";"Static";"Abs, Core, Hip Flexors";"Hold the position steadily, ensuring your Abs, Core, Hip Flexors remain activated without losing alignment."
"Plank";"Cardio";"Dumbbells";"Lower Body";"Push";"Biceps, Lower Back, Hip Flexors";"Perform the movement by engaging your Biceps, Lower Back, Hip Flexors and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Cardio";"Resistance Band";"Full Body";"Hold";"Shoulders, Core, Lower Back, Glutes";"Maintain a stable position, keeping your Shoulders, Core, Lower Back, Glutes engaged throughout the duration."
"Tricep Dips";"Warm-up";"Barbell";"Lower Body";"Static";"Rear Deltoids, Quadriceps";"Hold the position steadily, ensuring your Rear Deltoids, Quadriceps remain activated without losing alignment."
